,Observation,Next State,Current Weight,Action,# Rebalance,Trading Cost,Trace Error,Daily Return,Total Cost,Total Error,Total UE,Total Return,Reward
2164,[8.23866465e-05 2.67499443e-03 2.53111365e-03 3.43448040e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.07998306 0.23968928 0.16989621 0.50798399],[ 3.02586316e-04 -9.57574618e-05 -2.32982515e-04  2.61536611e-05],200,4.253350067124737e-06,0.00872297512682603,1.0014798897433828,0.0794795073682757,21.69795060813225,18.69497871706285,2.218738654007147,0.9927474775443538
2165,[-0.00017897  0.00306535  0.00128583  0.00455076],[0.08       0.23999999 0.17000002 0.50999999],[0.08002789 0.23929575 0.17067878 0.50951627],[ 8.20523851e-05 -6.67710688e-04  9.32250660e-04 -3.46592356e-04],200,1.3142764494463288e-05,0.009080905340939388,0.9975525461740355,0.07950859597599867,21.70703151347319,18.70372596015704,2.2132792332399776,0.9884425522253732
2166,[-6.60993578e-05  3.93172172e-03  8.37911927e-04  4.01944084e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08004671 0.23681848 0.17103516 0.51093741],[-0.0001793  -0.00027736 -0.00031303  0.00076969],200,9.948613947876415e-06,0.008855173842410954,0.9995186843869449,0.07953060421947222,21.7158866873156,18.712381283480806,2.212191928328318,0.9906415023010604
2167,[-0.00013952  0.00624866  0.0003647   0.00224913],[0.08       0.23999999 0.17000002 0.50999999],[0.08007889 0.24121612 0.17049309 0.51243827],[-6.64336192e-05  5.89016605e-04 -7.60951063e-04  2.38368077e-04],200,1.0689148896216863e-05,0.009002006382842515,0.9988377655930966,0.07955422293290419,21.724888693698443,18.720834415483147,2.209597196305632,0.9898121404968221
2168,[0.00025846 0.00314176 0.00182332 0.00349943],[0.08       0.23999999 0.17000002 0.50999999],[0.08002074 0.24110636 0.17015296 0.51464178],[-0.00013985  0.00290595 -0.00123416 -0.00153194],200,3.749856964696245e-05,0.00872297512682596,1.0042263736269705,0.07963742674376947,21.73361166882527,18.729318334692238,2.2188529228879688,0.9954201946892793
2169,[0.00045067 0.00365573 0.00244761 0.00216897],[0.08       0.23999999 0.17000002 0.50999999],[0.0800874  0.23970942 0.17058305 0.50845354],[ 0.00025813 -0.00020095  0.00022446 -0.00028164],200,6.253407789946703e-06,0.008722975126826127,1.0059218356530182,0.07965138421694568,21.742334643952095,18.737567295538845,2.2319787298433775,0.9971849030530159
2170,[-0.00018061  0.00335331  0.00081659  0.00473367],[0.08       0.23999999 0.17000002 0.50999999],[0.08004036 0.24133755 0.17161895 0.50665324],[ 0.00045034  0.00031302  0.00084874 -0.00161211],200,2.1013402286239433e-05,0.009084188429773585,0.9988334135860472,0.07969822998371667,21.75141883238187,18.746346563718028,2.229328032313966,0.9897023793895026
2171,[-6.80402408e-05  1.92067565e-03 -8.01419584e-05  6.95048168e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08004253 0.23822573 0.17071736 0.50706536],[-1.80940913e-04  1.06094809e-05 -7.82269030e-04  9.52600462e-04],200,1.2540295813137611e-05,0.009019339525235995,0.9996500996433901,0.0797261762841586,21.760438171907104,18.75539832181802,2.2285200332074693,0.9906028138177122
2172,[-0.00035954  0.00417248  0.00020468  0.00470536],[0.08       0.23999999 0.17000002 0.50999999],[0.08008602 0.24009453 0.17050864 0.51249121],[-6.83745022e-05 -1.42202947e-03 -1.67900495e-03  3.16940892e-03],200,4.124845300761996e-05,0.009442058932238179,0.9960509860987257,0.07981773249112308,21.76988023083934,18.76423233153517,2.2196276536131982,0.986517370959523
2173,[0.00016821 0.00400935 0.0016308  0.00291461],[0.08       0.23999999 0.17000002 0.50999999],[0.08001948 0.24205354 0.16961596 0.5094694 ],[-0.00035988  0.00082978 -0.00139419  0.00092429],200,2.273724789181411e-05,0.008722975126826044,1.0031804051529578,0.07986836007720255,21.778603205966167,18.77266784078529,2.2266365006162094,0.9944068024400523
2174,[7.34406797e-05 1.56921969e-03 2.17917541e-03 4.90113934e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08003419 0.23752927 0.168385   0.5125125 ],[ 1.67872685e-04  6.66645410e-04  3.19420026e-05 -8.66460098e-04],200,1.1267063412845798e-05,0.008722975126825905,1.0011583772553614,0.07989347651015669,21.787326181092993,18.781377672691466,2.229190698039831,0.9924102856955813
2175,[-0.00015722  0.0054473   0.00295433  0.00047857],[0.08       0.23999999 0.17000002 0.50999999],[0.08009245 0.24013485 0.17178852 0.5123685 ],[ 7.31064183e-05 -1.77348542e-03  5.80312419e-04  1.12006658e-03],200,2.3088073276796614e-05,0.009037417758485322,0.9984609571328118,0.07994486382902598,21.796363598851478,18.789562450036197,2.225708410278226,0.9893721520554571
2176,[0.0002575  0.00425608 0.00056025 0.00364914],[0.08       0.23999999 0.17000002 0.50999999],[0.0800714  0.2398097  0.17061441 0.51180452],[-0.00015756  0.00210459  0.00135547 -0.00330251],200,4.497435778694925e-05,0.00872297512682614,1.004384319685589,0.08004539800302635,21.805086573978304,18.79808714777436,2.2353665276694166,0.9955608103847625
2177,[0.00011268 0.0040833  0.00137599 0.003151  ],[0.08       0.23999999 0.17000002 0.50999999],[0.08012599 0.24165727 0.16988234 0.51144031],[ 0.00025717  0.00091337 -0.00103862 -0.00013193],200,1.528091511965698e-05,0.008722975126826044,1.0023000238781898,0.08007963449246651,21.81380954910513,18.806572563279037,2.240473765613392,0.9935428122619236
2178,[0.00012244 0.00243367 0.00224254 0.00392432],[0.08       0.23999999 0.17000002 0.50999999],[0.07998466 0.23980482 0.1710009  0.50986618],[ 0.00011235  0.0007406  -0.00022287 -0.00063007],200,1.1160210440840956e-05,0.00872297512682614,1.0031059149937334,0.08010471603291772,21.822532524231956,18.815141299746234,2.2474074825163655,0.9943578583264561
2179,[6.81561321e-05 3.69522213e-03 7.10174181e-04 4.24942268e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08001603 0.2395133  0.17061388 0.50926471],[ 0.0001221  -0.00090903  0.00064368  0.00014325],200,1.1930906624654441e-05,0.008722975126825905,1.000656556176644,0.080131546926469,21.831255499358782,18.82379244943931,2.248856218171626,0.9919067501562668
2180,[-6.31003942e-05  3.68750276e-03  8.83925546e-04  4.21464721e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.07988069 0.23681063 0.16930641 0.50637192],[ 6.78218708e-05  3.52517015e-04 -8.88688809e-04  4.68349923e-04],200,1.167143479096115e-05,0.008849175915237303,0.9994079237843678,0.08015777845838042,21.84010467527402,18.832471543803514,2.2474984765137656,0.9905325163372191
2181,[-0.00049457  0.00471123  0.00099067  0.00351565],[0.08       0.23999999 0.17000002 0.50999999],[0.07996615 0.23525716 0.16899297 0.50795695],[-6.34346556e-05  3.44797647e-04 -7.14937444e-04  4.33574452e-04],200,1.0216438228383332e-05,0.009712105342539773,0.9923696592330451,0.08018056444961962,21.84981678061656,18.841174329510658,2.2303263358353997,0.9826347678992662
2182,[-0.00059663  0.00622971  0.00127281  0.00181709],[0.08       0.23999999 0.17000002 0.50999999],[0.08001987 0.2454753  0.17093526 0.5132585 ],[-0.0004949   0.00136852 -0.0006082  -0.00026542],200,1.7825123165964887e-05,0.00991622940458238,0.9921732322848391,0.0802200084228656,21.85973301002114,18.849679350273554,2.2128303338341735,0.9822175589070108
2183,[0.00074833 0.00022297 0.00230391 0.00544776],[0.08       0.23999999 0.17000002 0.50999999],[0.07989867 0.23836973 0.17000002 0.50612286],[-0.00059696  0.002887   -0.00032606 -0.00196398],200,3.730851519331334e-05,0.008722975126826044,1.0096889247360783,0.08030336264947305,21.868455985147968,18.85827626546084,2.234187722978274,1.0008825953826448
2184,[-0.000349    0.00362848  0.00064     0.00480349],[0.08       0.23999999 0.17000002 0.50999999],[0.08010621 0.23986834 0.1691537  0.51403892],[ 0.000748   -0.00311973  0.00070505  0.00166669],200,4.070518782819254e-05,0.009420971679734783,0.9943912753873206,0.08039379190411136,21.877876956827702,18.867112910894843,2.2215658362761523,0.9848798744529476
2185,[0.00014704 0.00423166 0.00297923 0.00136505],[0.08       0.23999999 0.17000002 0.50999999],[0.08002142 0.24084722 0.17128334 0.51169479],[-0.00034933  0.00028578 -0.00095886  0.00102242],200,1.697243379197521e-05,0.00872297512682614,1.0031671691553767,0.0804316160625436,21.886599931954528,18.875330412338766,2.228564205690374,0.9944063698701183
2186,[0.00028555 0.00341842 0.00097191 0.0040471 ],[0.08       0.23999999 0.17000002 0.50999999],[0.08007887 0.23923076 0.17148226 0.51123825],[ 0.0001467   0.00088896  0.00138036 -0.00241602],200,3.1444079775198416e-05,0.008722975126826044,1.0038467678792347,0.08050195857260158,21.895322907081354,18.883892356519908,2.2370668997429677,0.9950534502423506
2187,[8.37033290e-05 4.59662906e-03 4.64048906e-04 3.57859383e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08007081 0.24022411 0.1700311  0.51105496],[ 2.85218655e-04  7.57103513e-05 -6.26957766e-04  2.66028760e-04],200,8.190871362174743e-06,0.008722975126825988,1.0020301359172739,0.08052031914897101,21.90404588220818,18.892456320938816,2.241590126078276,0.9932888002140784
2188,[3.99489919e-05 3.44987520e-03 1.80226175e-03 3.43088919e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08008153 0.24154262 0.17000002 0.50979691],[ 8.33690676e-05  1.25392394e-03 -1.13481408e-03 -2.02478926e-04],200,1.750635079418561e-05,0.008722975126825974,1.001380984535322,0.08055961471775185,21.912768857335006,18.90099055772177,2.244646485313837,0.9926187138397152
